Lyrics
ennilerinju thudangia thee kanal nenjinakath padarnnu pidichathu padaporuthuvaan
veripidichutti kadal ilaki varunathu pole maravichu thudangum nenjin
kathakil mutti vilichath pole bhaamath maanju poke aathmavin
pahuthiluude thalarukilloru shakalavum ini patharukilloru chuvadilum theeil vaartheduthu
vechaaudhathinte moorchaundente vakkilum innu naalu dikkilum irul niranjuvenkilum
poruthan thudangi parajithanini avukkillorikalum ini oru puthia udaam
ivide vidhie marikadannu pathie poa kaalam choohneduthathu njaan
pidichedukkum athu thirike vahangilla marikkum vareum pathanathin padi
vaathilarike thirichu njaan nadannu thudangi ini aatra vijaathin
pirake kanuneerin ini viraamam kanuvukalkithenthu bhaaram engilum njaan
sanjarikkum adhirthialla ee andhakaaram nenjudepinu chudala thaalam pidi
vidaathe chadula bhaavam vedi marruninnu thee pidichathu poleulla
orithu vichaaram ennilerinju thudangia thee kanal nenjinakath padarnnu
pidichathu padaporuthuvaan veripidichutti kadal ilaki varunathu pole maravichu
thudangum nenjin kathakil mutti vilichath pole bhaamath maanju
poke aathmavin pahuthiluude thalarukilloru shakalavum ini patharukilloru chuvadilum
theeil vaartheduthu vechaaudhathinte moorchaundente vakkilum innu naalu dikkilum
irul niranjuvenkilum poruthan thudangi parajithanini avukkillorikalum thalarukilloru shakalavum
ini patharukilloru chuvadilum theeil vaartheduthu vechaaudhathinte moorchaundente vakkilum
innu naalu dikkilum irul niranjuvenkilum poruthan thudangi parajithanini
avukkillorikalum
nee mukilo puthumaha manio thooveilo erulala nihalo ariillinnu
neeenna chaarutha ariaminnithanende chethanaaa uiril niraum athisaakara bhavammmmm
nee mukilo puthumaha manio thooveilo erulala nihalo neeenna
gaanathin chirakukaleri njanetho lokathil edariirangi paadanai njan porum
neramo sruthi ariukailla raagam thaalam polum nee mukilo
puthumaha manio thooveilo erulala nihalo neeenna meghathin padavukal
kaari njanetho maaripoo thiraukaai choodan mohamaa neelum kaikalil
ethaladarukaaano maaa swapnam pole nee mukilo puthumaha manio
thooveilo erulala nihalo ariillinnu neeenna chaarutha ariaminnithanende chethana
uiril niraum athisaakara bhavam
moha mundiri vaatia ravu sneha rathiude rasanilavu hridhaaragam
chiragil virium madhuraveenjil shalabham varava adada paa ahagithaa
udalithonna ohukan orukuri va thottu thottu ninnu mutti
mutti vannu mutham muthamittatharanu kannum kandarinj kathu katha
kani kattedutha kalla kamukani moha mundiri vaatia ravu
sneha rathiude rasanilavu iravumethail punarukenne ni arike njan
varam thaniee pulariolama karathalangalil aliiminnunjan uiree akashatharam pole
